sourceFile,classic,legacyTier,authorityTier,authorityLabel,libraryRole,libraryLabel,evidenceRole,sourceType,canJudge,canOverride,canEnterProductionRag,judgmentPolicy,domains
A_辅助经典/三命指迷赋-宋-岳珂.txt,三命指迷赋,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/乾元秘旨-清-舒继英.txt,乾元秘旨,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/五行精纪-宋-廖中.txt,五行精纪,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/人伦大统赋-金-张行简.txt,人伦大统赋,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/兰台妙选-明-西窗老人.txt,兰台妙选,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/兰台妙选.doc,兰台妙选,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/命理正宗--张神峰.txt,命理正宗,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/徐氏珞琭子赋注-宋-徐子平.txt,珞琭子,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/月谈赋-明-佚名.txt,月谈赋,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/李虚中命书-周-鬼谷子.txt,李虚中命书,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/珞琭子三命消息赋注-宋-徐子平.txt,珞琭子,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
A_辅助经典/神峰通考-明-张楠.txt,神峰通考,T1,A,A 辅助经典,judge_library,裁判库,secondary_support,classic,是,否,是,can_primary_judge,general
